text,category
cupboard door hinge pin missing,Furniture
cleaning done in morning but floor again dirty,Housekeeping
roommate using others things without asking,Other
router not visible in wifi list,Internet
food served half hour late every day,Mess
overhead tank leaking water on terrace,Plumbing
network latency very high gaming impossible,Internet
no connectivity in washroom area corridor,Internet
wet floor in corridor due to leakage,Plumbing
dirty mop used in bathroom again,Housekeeping
luggage room locked no key given,Other
fan completely stopped during summer heat,Electrical
room 305 not cleaned for four days,Housekeeping
router cable damaged needs replacement urgently,Internet
general issue needs immediate follow up,Other
hostel curfew changed no prior notice,Other
toilet blocked paper stuffed inside,Plumbing
pipe corroded leaking brown water,Plumbing
room 204 dusty allergy causing issues,Housekeeping
table leg loose wobbling dangerous,Furniture
hostel common room TV not working,Other
noisy pipes in wall near room,Other
dal has stones inside please check,Mess
dirty curtains not changed since months,Housekeeping
wifi not working today morning exam day,Internet
network packet loss very high today,Internet
bed slat fallen off middle broken,Furniture
fan switch stuck on highest speed,Electrical
bed side table broken drawer stuck,Furniture
slow internet even at midnight,Internet
light gone again in corridor outside,Electrical
bathroom soap dispenser not refilled,Housekeeping
study table too low causing back pain,Furniture
hostel CCTV camera not functional,Other
chapati too hard difficult to tear,Mess
weak signal in room on third floor,Internet
chair damaged cannot sit properly,Furniture
flush button stuck in pressed position,Plumbing
toilet seat broken needs replacement,Plumbing
water cooler in corridor not working,Other
internet slow for past entire week,Internet
cupboard key not turning properly,Furniture
mess food tasteless since new cook joined,Mess
bed spring broken poking at night,Furniture
fan installed incorrectly wobbling dangerously,Electrical
noisy birds on window ledge early,Other
pipe joint leaking near washroom door,Plumbing
bed frame bent sleeping uncomfortable,Furniture
table drawer broken not sliding,Furniture
internet cutting during group study session,Internet
cupboard door falling off daily issue,Furniture
floor swept without removing furniture,Housekeeping
food causing acidity students complaining,Mess
cupboard hinge broken door falling,Furniture
stray cats inside hostel block,Other
curd not fresh sour taste today,Mess
chair plastic cracking making noise,Furniture
geyser electricity connection loose not heating,Plumbing
table edge sharp needs to be filed,Furniture
sabzi has hair inside please check,Mess
geyser not heating water at all,Plumbing
bathroom tap needs gasket replacement urgently,Plumbing
study table needs urgent replacement request,Furniture
toilet not working properly for students,Plumbing
notice board glass broken dangerous,Other
tea in morning very weak no taste,Mess
room window handle broken no lock,Other
power supply unstable laptop keeps shutting,Electrical
hostel network very congested in evening,Internet
light cover glass broken pieces on floor,Electrical
fan speed too slow even on max,Electrical
laundry area flooding needs fix,Other
noise from upstairs room continuous,Other
wifi not detected on any device today,Internet
room swept but dustbin not emptied,Housekeeping
room window cannot close drafty cold,Other
same khichdi third time this week,Mess
tap head broken water shooting everywhere,Plumbing
rice smells like old storage,Mess
sweeper cleaning quickly not properly,Housekeeping
mess hall very hot no ventilation,Mess
cupboard door handle missing,Furniture
light switch broken cannot turn on,Electrical
shelf above table pulling from wall,Furniture
loose wire behind switchboard dangerous,Electrical
wifi connection requiring login every hour,Internet
general complaint no specific category fits,Other
food tastes stale probably yesterday leftover,Mess
food very oily causing health issues,Mess
mess very crowded no place to sit,Mess
dust settled on all furniture pieces,Housekeeping
hostel notice board not updated,Other
window sills full of dust and dirt,Housekeeping
common area chairs moved not returned,Other
night lamp socket not functional,Electrical
dinner menu changed without informing students,Mess
tubelight starter broken not igniting,Electrical
neighbor playing loud music whole night,Other
slow internet causing assignment submission failure,Internet
cupboard bottom panel collapsed inside,Furniture
fan speed not working on any setting,Electrical
dust everywhere on shelves and floor,Housekeeping
room 301 has no power since evening,Electrical
room under bed area never cleaned,Housekeeping
food served without covering flies landing,Mess
internet down during project submission,Internet
tap leaking from base near wall,Plumbing
toilet not flushing after multiple attempts,Plumbing
unexpected hostel problem no help received,Other
cleaning schedule changed no information given,Housekeeping
food not sufficient for all students,Mess
chair wobbles badly on uneven floor,Furniture
room light not coming on despite new bulb,Electrical
food too bland no masala used,Mess
mess utensil wash area very dirty,Mess
leakage from roof after heavy rain,Plumbing
wifi password not given to new students,Internet
mess starts late students missing breakfast,Mess
hostel cycle stand broken no fix,Other
no internet during submission deadline night,Internet
dinner time changed no announcement made,Mess
no internet support ticket being ignored,Internet
staircase railing broken fall risk,Other
water heater leaking from bottom joint,Plumbing
cupboard door stuck cannot open,Furniture
sabzi dal both same color same taste,Mess
switch board broken in room 204,Electrical
bathroom grout dirty between tiles,Housekeeping
toilet flush overflowing after using,Plumbing
cleaning staff came but only swept half,Housekeeping
power cut every morning during breakfast time,Electrical
tap handle missing hard to control,Plumbing
wifi router blinking red in corridor,Internet
no internet connectivity entire morning today,Internet
sabzi has no masala completely tasteless,Mess
internet speed enough for only text,Internet
no water pressure second floor wing B,Plumbing
ceiling fan falling loose fix urgently,Electrical
study table drawer not opening fully,Furniture
bulb holder loose light falling down,Electrical
sabzi not sufficient runs out early,Mess
sink tap broken water flowing nonstop,Plumbing
no connectivity in new block wing,Internet
wire hanging from ceiling in corridor,Electrical
hostel visitor register not maintained,Other
router placement bad poor signal coverage,Internet
flush knob broken off toilet,Plumbing
wifi login session expires too quickly,Internet
cobwebs on ceiling not cleaned,Housekeeping
room not cleaned since three days,Housekeeping
mess menu not followed today again,Mess
no earthing in room socket dangerous,Electrical
switch panel cracked needs replacement,Electrical
mattress stained heavily needs washing,Furniture
no running water since yesterday night,Plumbing
mess staff wearing dirty clothes serving,Mess
drain not draining water pooling ankle deep,Plumbing
roommate having guests at odd hours,Other
bathroom area not sanitized after illness,Housekeeping
no internet after eleven pm policy,Internet
birds nesting near room window noise,Other
sweeper only mops corridor skips rooms,Housekeeping
toilet seat wobbling not fixed properly,Plumbing
mess water cooler broken very hot day,Mess
dust on top of cupboard thick layer,Housekeeping
internet working but ping very high,Internet
bathroom floor black with dirt marks,Housekeeping
power fluctuation throughout the night,Electrical
bathroom cleaning poor students falling sick,Housekeeping
food quality very bad today,Mess
bed squeaking loudly disturbing neighbors,Furniture
general unresolved issue needs attention,Other
cleaning staff avoiding upper floors lately,Housekeeping
internet speed reduced after new students joined,Internet
bed upper bunk chain support broken,Furniture
hostel gate opened late every morning,Other
shelf above bed cracked dangerous,Furniture
pipe rattling sound throughout the night,Plumbing
hostel gate closed before permitted time,Other
tap leaking wasting water continuously,Plumbing
router signal strength very low,Internet
sabzi same every alternate day boring,Mess
pipe near toilet leaking rust water,Plumbing
cupboard key missing cannot lock,Furniture
mattress very lumpy cannot sleep,Furniture
bed side rail missing fall risk,Furniture
no water supply on weekends,Plumbing
hostel gate security guard absent often,Other
internet drops exactly during online lecture,Internet
hostel wifi password not given new student,Other
sweeper not entering attached bathroom area,Housekeeping
internet down when needed most during night,Internet
internet speed test showing zero mbps,Internet
study table unstable exam night problem,Furniture
mess timings changed nobody informed students,Mess
room 205 fan completely stopped working,Electrical
main switch tripping again and again,Electrical
mattress very thin uncomfortable sleep,Furniture
chair back support broken hunching forced,Furniture
noise from mechanical pump near rooms,Other
fan installed too low hitting tall students,Electrical
room walls have grime marks on them,Housekeeping
room 410 no power for entire day,Electrical
dal has been same for seven days,Mess
washroom drain choked dirty water flowing,Plumbing
sabzi has bad smell today morning,Mess
mattress not provided after joining,Furniture
sweeper replaced room pattern changed,Housekeeping
chair leg snapped completely unsafe,Furniture
sabzi gravy watery no consistency,Mess
food container not clean rust visible,Mess
power supply weak cannot charge laptop,Electrical
corridor cleaning only done before inspection,Housekeeping
rice smells bad today please check,Mess
internet cutting during important video lecture,Internet
chapati very thick and uncooked inside,Mess
room electricity cut without any notice,Electrical
tap in room 203 completely broken,Plumbing
chair fully broken cannot be sat on,Furniture
cleaning staff taking very long breaks,Housekeeping
washroom cleaning quality gone down,Housekeeping
loud party in next room after midnight,Other
chair arm rest broken dangerous sharp,Furniture
hostel curfew strictly enforced no exception,Other
general issue ongoing please resolve soon,Other
internet bandwidth shared too many users,Internet
no hot water in common bathroom,Plumbing
noise disturbance from nearby construction work,Other
fan noise unbearable during night study,Electrical
no proper seating arrangement in mess hall,Mess
fan remote control not responding,Electrical
router admin page not accessible,Internet
room electricity meter reading incorrect,Electrical
no water supply entire weekend again,Plumbing
hostel corridor pothole near block entrance,Other
bathroom mirror cracked dirty smudge marks,Housekeeping
utensils not cleaned properly smell bad,Mess
hostel event noise disturbing study,Other
bathroom walls have mold growing slowly,Housekeeping
power supply fluctuating badly since morning,Electrical
bed spring support completely collapsed,Furniture
internet blocked for some websites only,Internet
room 102 has complete power failure,Electrical
lights off in block A third floor,Electrical
overflow pipe dripping since last week,Plumbing
hostel ground flooding no proper drain,Other
internet very slow during exam time,Internet
geyser temperature very high burn risk,Plumbing
geyser switch leaking water around it,Plumbing
room cleaning complaint lodged no response,Housekeeping
cupboard interior badly damaged wood rotting,Furniture
no milk in morning tea today,Mess
dust allergy triggered room not cleaned,Housekeeping
router overloaded too many connected devices,Internet
cupboard missing from room altogether,Furniture
bathroom tap rust colored water coming,Plumbing
room bed area dirty needs mopping,Housekeeping
chair arm broken cannot use,Furniture
staircase dirty footmarks not cleaned,Housekeeping
flush tank not refilling after use,Plumbing
slow network affecting virtual lab access,Internet
wifi disconnects when multiple students use,Internet
bathroom exhaust fan not working dusty,Housekeeping
no seasonal fruit given this month,Mess
cupboard mirror cracked sharp dangerous,Furniture
geyser making noise but no hot water,Plumbing
bed frame completely rusted beyond repair,Furniture
inverter not working during power cut,Electrical
no water supply third floor rooms,Plumbing
tube light flickering at night only,Electrical
garbage bags not replaced after collection,Housekeeping
washroom leakage seeping into corridor,Plumbing
bathroom smell getting worse everyday,Housekeeping
floor mop water dirty smell coming,Housekeeping
socket cover broken wires exposed inside,Electrical
no network support available on weekends,Internet
shelf inside cupboard fallen off,Furniture
room 407 ceiling light not working,Electrical
network down affecting all fourth floor rooms,Internet
study table drawer handle completely gone,Furniture
mess smell of oil very strong,Mess
general cleanliness poor hostel wide,Other
table has no stability shakes badly,Furniture
pest issue in room no treatment done,Housekeeping
power socket near window not earthed,Electrical
wifi password reset without informing students,Internet
water pressure zero in attached bathroom,Plumbing
fan oscillation stopped working,Electrical
bed broken leg wobbling unsafe,Furniture
room window glass cracked needs fixing,Other
tap dripping constantly all night long,Plumbing
no hot water supply in winter,Plumbing
room fuse box locked no access,Electrical
rice undercooked hard to swallow,Mess
room not cleaned complaint raised twice,Housekeeping
no separate queue for girls hostel,Mess
corridor tiles cracked dirt stuck inside,Housekeeping
hostel maintenance team unresponsive always,Other
bathroom tap completely seized not turning,Plumbing
breakfast cereal not available since week,Mess
slow internet unable to submit online form,Internet
water tank empty since yesterday morning,Plumbing
table drawer stuck completely jammed,Furniture
hostel entry camera not working,Other
room smell like old socks not cleaned,Housekeeping
slow internet cannot upload assignment file,Internet
food too sweet in lunch today,Mess
tiles in bathroom not scrubbed properly,Housekeeping
food too spicy even with less chilli,Mess
bed frame joint loose falling apart,Furniture
hostel compound wall broken anyone entering,Other
wifi not working on any device today,Internet
fan regulator knob broken off,Electrical
vegetables overcooked no nutrition left,Mess
chair leg joint glue failing,Furniture
study table surface scratched badly,Furniture
rice half cooked served in dinner,Mess
chapati served cold and very hard,Mess
wifi not working on fourth floor,Internet
food taste complaint being ignored by warden,Mess
garbage piling outside wing B entrance,Housekeeping
bad smell in corridor near bathroom,Housekeeping
wifi works at ground floor not above,Internet
food complaint submitted but no response,Mess
extension board burnt smell coming out,Electrical
no internet access entire holiday weekend,Internet
room smell bad needs air freshener,Housekeeping
network unstable for past three days,Internet
bed slat missing support very weak,Furniture
mess water from cooler smells bad,Mess
wifi not working on new device,Internet
internet access not restored after payment,Internet
no light near hostel entrance gate,Electrical
no wifi in ground floor common room,Internet
room door hinge loose door falling,Other
wifi keeps dropping during online class,Internet
slow network affecting online exam performance,Internet
room 306 power socket burnt mark visible,Electrical
hostel water cooler empty not refilled,Other
study table unstable submission work affected,Furniture
sweeper absent today room not cleaned,Housekeeping
cupboard door not closing after opening,Furniture
main supply cable exposed near hostel entrance,Electrical
chair armrest snapped off completely,Furniture
router overheating shutting down automatically,Internet
socket not gripping plug keeps falling,Electrical
dog entering hostel premises danger,Other
water standing in washroom for hours,Plumbing
hostel lobby never swept on evenings,Housekeeping
table top laminate peeling badly,Furniture
food waste on tables not cleared,Mess
light not responding to switch,Electrical
no power in first floor washroom,Electrical
bathroom pipe noisy vibrating badly,Plumbing
mattress given is heavily stained old,Furniture
bed rail broken on bunk side,Furniture
room 112 switch board fully damaged,Electrical
table water stained damaged surface,Furniture
no water from seven to ten morning,Plumbing
cupboard lock broken cannot secure,Furniture
bathroom leaking into room below,Plumbing
bed bunk top unsafe ladder missing,Furniture
toilet seat hinges broken uncomfortable,Plumbing
water standing outside bathroom door,Plumbing
bathroom water very cold geyser faulty,Plumbing
wifi authentication page keeps refreshing,Internet
bed spring poking through mattress,Furniture
drain cover missing in washroom,Plumbing
wifi speed fluctuating entire day,Internet
fan not turning despite switch on,Electrical
hostel roof leaking during heavy rain,Other
general issue needs warden attention urgently,Other
ceiling fan wobbling and about to fall,Electrical
room socket overloaded tripping daily,Electrical
drain cover broken foot getting stuck,Plumbing
study room door broken cannot open inside,Other
chair cushion gone only wooden seat,Furniture
light fitting needs immediate replacement,Electrical
no proper lighting in mess hall,Mess
cupboard smelling bad mold inside,Furniture
study table drawer knob missing,Furniture
electricity gone during exam preparation,Electrical
food served cold not properly heated,Mess
network error showing on all devices,Internet
trash bin not replaced after emptying,Housekeeping
mess table not wiped between batches,Mess
sweeper missed room today no entry,Housekeeping
water overflowing from tank on roof,Plumbing
wifi authentication server not responding,Internet
cupboard lock mechanism jammed,Furniture
geyser switch tripping due to water leak,Plumbing
food cold by the time served,Mess
fan making ticking noise all night,Electrical
water tank not getting filled properly,Plumbing
roommate coming late disturbing sleep,Other
cupboard latch broken cannot lock,Furniture
switchboard wet after bathroom leak,Electrical
general hostel condition below standard,Other
mattress dirty needs replacement not clean,Furniture
same dal every day no change,Mess
garbage collection van not coming daily,Housekeeping
router reboot needed multiple times daily,Internet
room 401 requesting immediate cleaning today,Housekeeping
internet working but very poor speed,Internet
garbage left outside room not picked up,Housekeeping
fan making vibrating noise non-stop,Electrical
internet speed zero during exam season,Internet
cupboard door coming off hinges,Furniture
table drawer handle pulled off,Furniture
hostel compound flooding after rain,Other
no internet support from hostel staff,Internet
room 310 requesting cleaning since two days,Housekeeping
power cut every night after eleven,Electrical
light not working in attached bathroom,Electrical
no electricity near washroom area,Electrical
old wiring in room causing issues,Electrical
noise from mechanical room all night,Other
mess staff absent less help in kitchen,Mess
no connectivity after latest router update,Internet
room 201 has intermittent power supply,Electrical
geyser pilot light keeps going off,Plumbing
study table chair height mismatch,Furniture
smell from bathroom entering room,Housekeeping
slow wifi affecting coding submissions tonight,Internet
bed top bunk rail completely missing,Furniture
table lamp socket not giving power,Electrical
wifi login portal not loading at all,Internet
mattress foam compressed too old,Furniture
fan working but no light in room,Electrical
room not sanitized since last month,Housekeeping
less salt in sabzi completely bland,Mess
internet disconnects every ten minutes,Internet
pipe leaking continuously wasting liters daily,Plumbing
bathroom exhaust fan covered with dust,Housekeeping
hostel register online portal not working,Other
no electricity on weekend evening,Electrical
wifi not reaching corner rooms at all,Internet
water tap corroded and rusted badly,Plumbing
complaint box in hostel not emptied,Other
room dust very thick on shelves,Housekeeping
food quality complaint already submitted twice,Mess
breakfast served too late students going late,Mess
wifi router not installed in wing D,Internet
toilet seat very unclean please send cleaner,Housekeeping
no water even during evening hours,Plumbing
reading lamp not getting any power,Electrical
room light suddenly went off at night,Electrical
wifi connected but no internet access,Internet
generator not starting during power cut,Electrical
mattress too thin back pain caused,Furniture
food quality check not done this month,Mess
no internet connection since morning,Internet
geyser taking too long to heat,Plumbing
water supply restored but very slow flow,Plumbing
general repair complaint ignored by office,Other
slow internet downloading assignment takes hours,Internet
table top glass broken shards present,Furniture
room near mess smells of food daily,Housekeeping
router cable pulled out not reconnected,Internet
power restored but fan still not working,Electrical
bathroom floor always wet due to pipe,Plumbing
chair seat cushion torn exposed foam,Furniture
hostel wall paint peeling and falling,Other
hostel lobby dirty during guest visit,Housekeeping
no sugar available in mess today,Mess
table corner very sharp students getting hurt,Furniture
lost and found item missing complaint,Other
floor near entrance muddy not cleaned,Housekeeping
mattress torn springs visible painful,Furniture
power fluctuation damaging my charger,Electrical
router lights all off power issue,Internet
room dusty after construction work nearby,Housekeeping
room has no electricity since yesterday evening,Electrical
mess not clean tables sticky everywhere,Mess
food hygiene very poor cockroach seen,Mess
switchboard cover missing since last week,Electrical
food served without proper covering flies,Mess
no power supply to ground floor rooms,Electrical
dal watery no taste at all,Mess
study table leg broken needs repair,Furniture
food too greasy oily stomach upset,Mess
washing machine coin not returned,Other
mess not cleaned during meal service,Mess
pipe elbow cracked water spraying,Plumbing
mess bill more than food consumed,Mess
tap in common bathroom jammed stuck,Plumbing
floor near window always dirty with mud,Housekeeping
mess tray dirty not washed properly,Mess
water supply pipe old and rusted,Plumbing
bathroom pipe leaking every night,Plumbing
router needs replacement no action taken,Internet
mess quality complaint need immediate attention,Mess
bulb fused in bathroom area,Electrical
food served in broken tray dirty,Mess
chair all four legs not equal,Furniture
fan blade broken needs replacement urgently,Electrical
water supply only one hour per day,Plumbing
bathroom mirror dirty not cleaned,Housekeeping
mess serving speed very slow long queue,Mess
light flickering in my room continuously,Electrical
no fruit given despite promised in menu,Mess
chapati raw not properly cooked,Mess
room not dusted only floor swept,Housekeeping
router disconnecting all students simultaneously,Internet
cupboard handle broke off today,Furniture
bed bottom board missing no support,Furniture
general maintenance pending since last month,Other
water tank not filled since morning,Plumbing
electric board water damaged after rain,Electrical
hostel old newspapers blocking fire exit,Other
garbage not collected from dustbin,Housekeeping
tap drips even after turning off,Plumbing
garbage not cleared before night time,Housekeeping
chair joint loose wobbles every moment,Furniture
water heater making popping sounds,Plumbing
food too spicy cannot eat at all,Mess
mosquitoes in room no spray done,Housekeeping
rice too salty cannot finish plate,Mess
cupboard paint peeling exposing wood,Furniture
chair seat cracked wooden sharp edges,Furniture
bed frame cracked needs replacement,Furniture
general hostel condition needs improvement,Other
voltage too low fan not rotating,Electrical
toilet blocked again third time this week,Plumbing
router needs restart nobody doing it,Internet
mess hall very noisy no discipline,Mess
common corridor lights on in day,Other
wifi not connecting on phone or laptop,Internet
room 103 bulb keeps blowing out,Electrical
mess serving area very unhygienic,Mess
water supply stopped before bathing time,Plumbing
internet speed very slow for assignment,Internet
drain uncovered foot injury risk,Plumbing
chapati sides burnt not properly cooked,Mess
notice about water cut not given,Other
toilet flush not working properly,Plumbing
tubelight holder rusted not fitting bulb,Electrical
internet bandwidth very low entire block,Internet
wifi signal drops near staircase,Internet
drain blocked water standing in bathroom,Plumbing
food served late again today morning,Mess
rice quantity reduced from earlier,Mess
dustbin near door overflowing since morning,Housekeeping
mess serving area flies everywhere,Mess
fan chain broken cannot adjust speed,Electrical
bathroom pipeline making banging sound,Plumbing
water tank making noise when filling,Plumbing
corridor floor wet from leaking pipe,Plumbing
no pickle served with meal today,Mess
router not responding in wing C,Internet
room allotted to two students same,Other
wifi authentication failing repeatedly,Internet
bathroom pipeline broken needs emergency repair,Plumbing
ceiling light cover fallen on floor,Electrical
hostel smell bad during summer heat,Housekeeping
room freshener smell not available anymore,Housekeeping
corridor dustbin missing from its place,Housekeeping
bathroom sink area not wiped clean,Housekeeping
no electricity in washroom for two days,Electrical
bathroom tap area slimy not cleaned,Housekeeping
no electricity supply in wing C rooms,Electrical
noise complaint from next room students,Other
bathroom door handle sticky not wiped,Housekeeping
hostel gate locked too early at night,Other
bathroom tap handle broken off completely,Plumbing
wifi not reaching end of corridor,Internet
bed broken cannot sleep properly,Furniture
chapati dry no ghee applied,Mess
food spoon missing students eating difficulty,Mess
hostel reading room lights very dim,Other
inverter battery dead no backup,Electrical
dust entering from broken window,Housekeeping
power socket not working near bed,Electrical
cupboard shelf inside collapsed,Furniture
geyser rod damaged no heating,Plumbing
hostel rules changed without telling students,Other
mess not serving full thali today,Mess
dal watery runny hard to eat,Mess
drain choked solid material inside,Plumbing
room light works only sometimes,Electrical
mess staff not wearing gloves while serving,Mess
wiring burning smell near switchboard,Electrical
internet cuts out exactly at midnight,Internet
no internet in room even with hotspot,Internet
